,date,close,high,low,open,volume
0,25/07/2016,97.34,98.84,96.92,98.25,40382921
1,26/07/2016,96.67,97.97,96.42,96.82,56239822
2,27/07/2016,102.95,104.35,102.75,104.265,92344820
3,28/07/2016,104.34,104.45,102.82,102.83,39869839
4,29/07/2016,104.21,104.55,103.68,104.19,27733688
5,01/08/2016,106.05,106.15,104.41,104.41,38167871
6,02/08/2016,104.48,106.07,104,106.05,33816556
7,03/08/2016,105.79,105.84,104.77,104.81,30202641
8,04/08/2016,105.87,106,105.28,105.58,27408650
9,05/08/2016,107.48,107.65,106.18,106.27,40553402
10,08/08/2016,108.37,108.37,107.16,107.52,28037220
11,09/08/2016,108.81,108.94,108.01,108.23,26315204
12,10/08/2016,108,108.9,107.76,108.71,24008505
13,11/08/2016,107.93,108.93,107.85,108.52,27484506
14,12/08/2016,108.18,108.44,107.78,107.78,18660434
15,15/08/2016,109.48,109.54,108.08,108.14,25868209
16,16/08/2016,109.38,110.23,109.21,109.63,33794448
17,17/08/2016,109.22,109.37,108.34,109.1,25355976
18,18/08/2016,109.08,109.6,109.02,109.23,21984703
19,19/08/2016,109.36,109.69,108.36,108.77,25368072
20,22/08/2016,108.51,109.1,107.85,108.86,25820230
21,23/08/2016,108.85,109.32,108.53,108.59,21257669
22,24/08/2016,108.03,108.75,107.68,108.565,23675081
23,25/08/2016,107.57,107.88,106.68,107.39,25086248
24,26/08/2016,106.94,107.95,106.31,107.41,27766291
25,29/08/2016,106.82,107.44,106.29,106.62,24970300
26,30/08/2016,106,106.5,105.5,105.8,24863945
27,31/08/2016,106.1,106.5699,105.64,105.66,29662406
28,01/09/2016,106.73,106.8,105.62,106.14,26701523
29,02/09/2016,107.73,108,106.82,107.7,26802450
30,06/09/2016,107.7,108.3,107.51,107.9,26880391
31,07/09/2016,108.36,108.76,107.07,107.83,42364328
32,08/09/2016,105.52,107.27,105.24,107.25,53002026
33,09/09/2016,103.13,105.72,103.13,104.64,46556984
34,12/09/2016,105.44,105.72,102.53,102.65,45292770
35,13/09/2016,107.95,108.79,107.24,107.51,62176190
36,14/09/2016,111.77,113.03,108.6,108.73,112340318
37,15/09/2016,115.57,115.73,113.49,113.86,90613177
38,16/09/2016,114.92,116.13,114.04,115.12,79886911
39,19/09/2016,113.58,116.18,113.25,115.19,47023046
40,20/09/2016,113.57,114.12,112.51,113.05,34514269
41,21/09/2016,113.55,113.989,112.441,113.85,36003185
42,22/09/2016,114.62,114.94,114,114.35,31073984
43,23/09/2016,112.71,114.79,111.55,114.42,52481151
44,26/09/2016,112.88,113.39,111.55,111.64,29869442
45,27/09/2016,113.09,113.18,112.34,113,24607412
46,28/09/2016,113.95,114.64,113.43,113.69,29641085
47,29/09/2016,112.18,113.8,111.8,113.16,35886990
48,30/09/2016,113.05,113.37,111.8,112.46,36379106
49,03/10/2016,112.52,113.05,112.28,112.71,21701760
50,04/10/2016,113,114.31,112.63,113.06,29736835
51,05/10/2016,113.05,113.66,112.69,113.4,21453089
52,06/10/2016,113.89,114.34,113.13,113.7,28779313
53,07/10/2016,114.06,114.56,113.51,114.31,24358443
54,10/10/2016,116.05,116.75,114.72,115.02,36235956
55,11/10/2016,116.3,118.69,116.2,117.7,64041043
56,12/10/2016,117.34,117.98,116.75,117.35,37586787
57,13/10/2016,116.98,117.44,115.72,116.79,35192406
58,14/10/2016,117.63,118.17,117.13,117.88,35652191
59,17/10/2016,117.55,117.84,116.78,117.33,23624896
60,18/10/2016,117.47,118.21,117.45,118.18,24553478
61,19/10/2016,117.12,117.76,113.8,117.25,20034594
62,20/10/2016,117.06,117.38,116.33,116.86,24125801
63,21/10/2016,116.6,116.91,116.28,116.81,23192665
64,24/10/2016,117.65,117.74,117,117.1,23538673
65,25/10/2016,118.25,118.36,117.31,117.95,48128970
66,26/10/2016,115.59,115.7,113.31,114.31,66134219
67,27/10/2016,114.48,115.86,114.1,115.39,34562045
68,28/10/2016,113.72,115.21,113.45,113.87,37861662
69,31/10/2016,113.54,114.23,113.2,113.65,26419398
70,01/11/2016,111.49,113.77,110.53,113.46,43825812
71,02/11/2016,111.59,112.35,111.23,111.4,28331709
72,03/11/2016,109.83,111.46,109.55,110.98,26932602
73,04/11/2016,108.84,110.25,108.11,108.53,30836997
74,07/11/2016,110.41,110.51,109.46,110.08,32560000
75,08/11/2016,111.06,111.72,109.7,110.31,24254179
76,09/11/2016,110.88,111.32,108.05,109.88,59176361
77,10/11/2016,107.79,111.09,105.83,111.09,57134541
78,11/11/2016,108.43,108.87,106.55,106.92,34143898
79,14/11/2016,105.71,107.809,104.08,107.32,51175504
80,15/11/2016,107.11,107.68,106.1593,106.57,32264510
81,16/11/2016,109.99,110.23,106.6,106.7,58840522
82,17/11/2016,109.95,110.35,108.83,109.81,27632003
83,18/11/2016,110.06,110.54,109.66,109.72,28428917
84,21/11/2016,111.73,111.99,110.01,110.12,29264571
85,22/11/2016,111.8,112.42,111.4,111.95,25965534
86,23/11/2016,111.23,111.51,110.33,111.36,27426394
87,25/11/2016,111.79,111.87,110.95,111.13,11475922
88,28/11/2016,111.57,112.465,111.39,111.43,27193983
89,29/11/2016,111.46,112.03,110.07,110.78,28528750
90,30/11/2016,110.52,112.2,110.27,111.56,36162258
91,01/12/2016,109.49,110.94,109.03,110.365,37086862
92,02/12/2016,109.9,110.09,108.85,109.17,26527997
93,05/12/2016,109.11,110.03,108.25,110,34324540
94,06/12/2016,109.95,110.36,109.19,109.5,26195462
95,07/12/2016,111.03,111.19,109.16,109.26,29998719
96,08/12/2016,112.12,112.43,110.6,110.86,27068316
97,09/12/2016,113.95,114.7,112.31,112.31,34402627
98,12/12/2016,113.3,115,112.49,113.29,26374377
99,13/12/2016,115.19,115.92,113.75,113.84,43733811
100,14/12/2016,115.19,116.2,114.98,115.04,34031834
101,15/12/2016,115.82,116.73,115.23,115.38,46524544
102,16/12/2016,115.97,116.5,115.645,116.47,44351134
103,19/12/2016,116.64,117.38,115.75,115.8,27779423
104,20/12/2016,116.95,117.5,116.68,116.74,21424965
105,21/12/2016,117.06,117.4,116.78,116.8,23783165
106,22/12/2016,116.29,116.51,115.64,116.35,26085854
107,23/12/2016,116.52,116.52,115.59,115.59,14249484
108,27/12/2016,117.26,117.8,116.49,116.52,18296855
109,28/12/2016,116.76,118.0166,116.2,117.52,20905892
110,29/12/2016,116.73,117.1095,116.4,116.45,15039519
111,30/12/2016,115.82,117.2,115.43,116.65,30586265
112,03/01/2017,116.15,116.33,114.76,115.8,28781865
113,04/01/2017,116.02,116.51,115.75,115.85,21118116
114,05/01/2017,116.61,116.8642,115.81,115.92,22193587
115,06/01/2017,117.91,118.16,116.47,116.78,31751900
116,09/01/2017,118.99,119.43,117.94,117.95,33561948
117,10/01/2017,119.11,119.38,118.3,118.77,24462051
118,11/01/2017,119.75,119.93,118.6,118.74,27588593
119,12/01/2017,119.25,119.3,118.21,118.895,27086220
120,13/01/2017,119.04,119.62,118.81,119.11,26111948
121,17/01/2017,120,120.24,118.22,118.34,34439843
122,18/01/2017,119.99,120.5,119.71,120,23712961
123,19/01/2017,119.78,120.09,119.37,119.4,25597291
124,20/01/2017,120,120.45,119.7346,120.45,32597892
125,23/01/2017,120.08,120.81,119.77,120,22050218
126,24/01/2017,119.97,120.1,119.5,119.55,23211038
127,25/01/2017,121.88,122.1,120.28,120.42,32586673
128,26/01/2017,121.94,122.44,121.6,121.67,26337576
129,27/01/2017,121.95,122.35,121.6,122.14,20562944
130,30/01/2017,121.63,121.63,120.66,120.93,30377503
131,31/01/2017,121.35,121.39,120.62,121.15,49200993
132,01/02/2017,128.75,130.49,127.01,127.03,111985040
133,02/02/2017,128.53,129.39,127.78,127.975,33710411
134,03/02/2017,129.08,129.19,128.16,128.31,24507301
135,06/02/2017,130.29,130.5,128.9,129.13,26845924
136,07/02/2017,131.53,132.09,130.45,130.54,38183841
137,08/02/2017,132.04,132.22,131.22,131.35,23004072
138,09/02/2017,132.42,132.445,131.12,131.65,28349859
139,10/02/2017,132.12,132.94,132.05,132.46,20065458
140,13/02/2017,133.29,133.82,132.75,133.08,23035421
141,14/02/2017,135.02,135.09,133.25,133.47,33226223
142,15/02/2017,135.51,136.27,134.62,135.52,35623100
143,16/02/2017,135.345,135.9,134.8398,135.67,22584555
144,17/02/2017,135.72,135.83,135.1,135.1,22198197
145,21/02/2017,136.7,136.75,135.98,136.23,24507156
146,22/02/2017,137.11,137.12,136.11,136.43,20836932
147,23/02/2017,136.53,137.48,136.3,137.38,20788186
148,24/02/2017,136.66,136.66,135.28,135.91,21776585
149,27/02/2017,136.93,137.435,136.28,137.14,20257426
150,28/02/2017,136.99,137.435,136.7,137.08,23482860
151,01/03/2017,139.79,140.15,137.595,137.89,36414585
152,02/03/2017,138.96,140.2786,138.76,140,26210984
153,03/03/2017,139.78,139.83,138.59,138.78,21571121
154,06/03/2017,139.34,139.77,138.5959,139.365,21750044
155,07/03/2017,139.52,139.98,138.79,139.06,17446297
156,08/03/2017,139,139.8,138.82,138.95,18707236
157,09/03/2017,138.68,138.79,137.05,138.74,22155904
158,10/03/2017,139.14,139.3571,138.64,139.25,19612801
159,13/03/2017,139.2,139.43,138.82,138.85,17421717
160,14/03/2017,138.99,139.65,138.84,139.3,15309065
161,15/03/2017,140.46,140.7501,139.025,139.41,25691774
162,16/03/2017,140.69,141.02,140.26,140.72,19231998
163,17/03/2017,139.99,141,139.89,141,43884952
164,20/03/2017,141.46,141.5,140.23,140.4,21542038
165,21/03/2017,139.84,142.8,139.73,142.11,39529912
166,22/03/2017,141.42,141.6,139.76,139.845,25860165
167,23/03/2017,140.92,141.5844,140.61,141.26,20346301
168,24/03/2017,140.64,141.74,140.35,141.5,22395563
169,27/03/2017,140.88,141.22,138.62,139.39,23575094
170,28/03/2017,143.8,144.04,140.62,140.91,33374805
171,29/03/2017,144.12,144.49,143.19,143.68,29189955
172,30/03/2017,143.93,144.5,143.5,144.19,21207252
173,31/03/2017,143.66,144.27,143.01,143.72,19661651
174,03/04/2017,143.7,144.12,143.05,143.71,19985714
175,04/04/2017,144.77,144.89,143.17,143.25,19891354
176,05/04/2017,144.02,145.46,143.81,144.22,27717854
177,06/04/2017,143.66,144.52,143.45,144.29,21149034
178,07/04/2017,143.34,144.18,143.27,143.73,16658543
179,10/04/2017,143.17,143.8792,142.9,143.6,18933397
180,11/04/2017,141.63,143.35,140.06,142.94,30379376
181,12/04/2017,141.8,142.15,141.01,141.6,20350000
182,13/04/2017,141.05,142.38,141.05,141.91,17822880
183,17/04/2017,141.83,141.88,140.87,141.48,16582094
184,18/04/2017,141.2,142.04,141.11,141.41,14697544
185,19/04/2017,140.68,142,140.45,141.88,17328375
186,20/04/2017,142.44,142.92,141.16,141.22,23319562
